iter	Passed	Remaining
0	146	146419
1	148	74246
2	150	50141
3	152	38043
4	154	30838
5	157	26151
6	159	22688
7	161	20081
8	163	18057
9	165	16421
10	167	15097
11	171	14097
12	173	13171
13	175	12369
14	177	11671
15	179	11058
16	181	10517
17	184	10040
18	186	9634
19	188	9254
20	191	8908
21	193	8587
22	195	8294
23	197	8022
24	199	7793
25	202	7584
26	204	7372
27	206	7174
28	208	6990
29	210	6819
30	213	6660
31	215	6522
32	217	6385
33	220	6254
34	222	6128
35	224	6009
36	226	5894
37	228	5789
38	231	5701
39	233	5604
40	235	5510
41	237	5423
42	239	5337
43	242	5260
44	244	5188
45	246	5121
46	249	5051
47	251	4980
48	253	4915
49	255	4855
50	257	4796
51	260	4745
52	262	4692
53	264	4638
54	266	4585
55	269	4534
56	271	4494
57	273	4447
58	276	4410
59	278	4366
60	280	4324
61	283	4283
62	285	4244
63	287	4206
64	289	4170
65	292	4138
66	294	4100
67	296	4062
68	298	4029
69	301	4000
70	303	3968
71	306	3950
72	308	3922
73	311	3893
74	313	3865
75	315	3837
76	317	3808
77	320	3784
78	322	3762
79	324	3736
80	327	3712
81	329	3687
82	330	3648
83	332	3621
84	334	3597
85	336	3577
86	338	3556
87	341	3535
88	343	3512
89	345	3491
90	347	3469
91	349	3447
92	351	3431
93	353	3411
94	356	3393
95	358	3375
96	360	3357
97	362	3339
98	364	3320
99	367	3304
100	369	3288
101	371	3273
102	373	3256
103	375	3238
104	377	3221
105	380	3205
106	382	3195
107	385	3182
108	387	3167
109	389	3152
110	391	3137
111	393	3122
112	395	3107
113	398	3099
114	401	3088
115	403	3074
116	404	3054
117	406	3041
118	409	3029
119	411	3016
120	414	3009
121	415	2993
122	418	2980
123	420	2967
124	422	2955
125	424	2942
126	425	2925
127	428	2916
128	430	2907
129	432	2894
130	434	2883
131	436	2872
132	439	2861
133	440	2850
134	443	2841
135	446	2833
136	448	2823
137	450	2813
138	452	2803
139	454	2793
140	457	2785
141	458	2771
142	461	2764
143	463	2755
144	465	2746
145	467	2736
146	470	2727
147	472	2720
148	475	2716
149	478	2711
150	480	2703
151	483	2696
152	486	2691
153	489	2690
154	493	2689
155	495	2682
156	498	2675
157	500	2668
158	503	2661
159	507	2663
160	508	2652
161	511	2645
162	513	2638
163	516	2632
164	518	2625
165	523	2628
166	525	2621
167	527	2613
168	530	2607
169	533	2602
170	537	2607
171	540	2602
172	543	2596
173	545	2589
174	547	2582
175	551	2581
176	554	2578
177	557	2574
178	559	2567
179	562	2561
180	564	2554
181	567	2551
182	570	2545
183	572	2539
184	574	2532
185	577	2525
186	579	2519
187	582	2516
188	585	2510
189	587	2505
190	590	2499
191	592	2493
192	594	2487
193	598	2485
194	600	2479
195	603	2475
196	605	2469
197	608	2464
198	611	2460
199	614	2458
200	617	2453
201	619	2448
202	621	2441
203	624	2434
204	626	2429
205	629	2426
206	632	2424
207	635	2419
208	637	2413
209	639	2406
210	642	2401
211	644	2397
212	647	2393
213	650	2387
214	652	2382
215	654	2376
216	656	2370
217	660	2369
218	663	2365
219	665	2359
220	667	2353
221	670	2348
222	672	2344
223	675	2341
224	678	2336
225	680	2330
226	682	2324
227	684	2318
228	687	2313
229	690	2312
230	693	2307
231	695	2302
232	697	2296
233	699	2290
234	701	2285
235	705	2283
236	707	2278
237	709	2272
238	711	2266
239	714	2261
240	716	2255
241	718	2251
242	721	2247
243	723	2242
244	725	2236
245	727	2231
246	730	2225
247	732	2220
248	735	2219
249	738	2214
250	740	2209
251	742	2204
252	744	2198
253	746	2193
254	749	2189
255	751	2185
256	754	2180
257	756	2175
258	758	2170
259	760	2165
260	762	2159
261	766	2157
262	768	2153
263	770	2148
264	772	2143
265	775	2138
266	777	2134
267	779	2130
