iter	Passed	Remaining
0	1	185
1	3	186
2	5	173
3	6	158
4	8	167
5	10	170
6	12	164
7	13	157
8	15	153
9	16	151
10	18	148
11	19	146
12	22	149
13	24	149
14	25	146
15	27	142
16	28	139
17	30	138
18	32	138
19	33	135
20	35	132
21	38	135
22	39	132
23	41	129
24	42	127
25	43	125
26	45	122
27	47	121
28	48	118
29	49	116
30	52	117
31	54	115
32	56	113
33	57	111
34	59	110
35	60	108
36	62	106
37	63	104
38	67	105
39	68	103
40	70	100
41	70	97
42	72	95
43	73	94
44	75	92
45	76	90
46	78	88
47	81	88
48	83	86
49	84	84
50	86	82
51	87	80
52	88	78
53	90	76
54	91	74
55	92	72
56	93	70
57	96	69
58	97	67
59	99	66
60	101	64
61	102	63
62	104	61
63	105	59
64	106	57
65	111	57
66	112	55
67	114	53
68	115	52
69	117	50
70	118	48
71	120	46
72	121	44
73	123	43
74	125	41
75	126	40
76	128	38
77	129	36
78	131	34
79	132	33
80	133	31
81	135	29
82	136	27
83	138	26
84	140	24
85	142	23
86	143	21
87	145	19
88	146	18
89	148	16
90	149	14
91	150	13
92	153	11
93	155	9
94	156	8
95	158	6
96	159	4
97	161	3
98	162	1
99	164	0
